Version;Date_of_report;Date_measurement;Region_code;Region_name;RNA_flow_per_100000
1;4-4-2025;7-9-2020;GG5608;Noord Brabant;1,37E+13
1;4-4-2025;7-9-2020;GG0706;Drenthe;2,12E+13
1;4-4-2025;7-9-2020;GG2209;Flevoland;5,78E+12
1;4-4-2025;7-9-2020;GG7206;Friesland;5,78E+12
1;4-4-2025;7-9-2020;GG2014;Gelderland;1,09E+13
1;4-4-2025;7-9-2020;GG0111;Groningen;3,23E+12
1;4-4-2025;7-9-2020;GG2514;Utrecht;1,15E+13
1;4-4-2025;7-9-2020;GG5006;Zeeland;1,48E+13
1;4-4-2025;7-9-2020;GG6106;Limburg;8,67E+11
1;4-4-2025;8-9-2020;GG3406;Noord-Holland;2,10E+13
1;4-4-2025;8-9-2020;GG7014;Zuid-Holland;1,09E+13
1;4-4-2025;8-9-2020;GG7014;Overijssel;1,09E+13
